G Size,Instance Of Run,Cost Constraint,Actual Cost,Result,Time This Run,Time All Runs
12,1,2999999940000000,2174165192755800,sat,0:00:00,0:00:00
12,2,2174165162755800,1973805062387210,sat,0:00:00,0:00:00
12,3,1973805032387210,1702847430283020,sat,0:00:00,0:00:00
12,4,1702847400283020,1368715014578140,sat,0:00:00,0:00:01
12,5,1368714984578140,1318369743563480,sat,0:00:00,0:00:01
12,6,1318369713563480,1271089998085380,sat,0:00:03,0:00:04
12,7,1271089968085380,1263420140613010,sat,0:00:48,0:00:52
12,8,1263420110613010,1249901639576860,sat,0:00:02,0:00:54
12,9,1249901609576860,1245023596632460,sat,0:01:23,0:02:17
12,10,1245023566632460,1204728624253780,sat,0:00:43,0:02:59
12,11,1204728594253780,1193639033300350,sat,0:00:00,0:02:59
12,12,1193639003300350,1169672681376030,sat,0:05:12,0:08:12
12,13,1169672651376030,1156299014243300,sat,0:00:24,0:08:35
12,14,1156298984243300,1153322109724600,sat,0:00:00,0:08:36
12,15,1153322079724600,1145935823690330,sat,2:39:45,2:48:21
12,16,1145935793690330,1136861012220890,sat,0:00:05,2:48:26
12,17,1136860982220890,1136861012220890,unknown,2:11:33,5:00:00
16,1,2999999940000000,2814068964905250,sat,0:00:01,0:00:01
16,2,2814068934905250,2735993538690140,sat,0:00:08,0:00:08
16,3,2735993508690140,2718964394431610,sat,0:00:07,0:00:15
16,4,2718964364431610,2672431542823300,sat,0:00:00,0:00:15
16,5,2672431512823300,2651503444056270,sat,0:00:33,0:00:49
16,6,2651503414056270,2646799644570250,sat,0:26:29,0:27:18
16,7,2646799614570250,2536905639649520,sat,0:05:39,0:32:58
16,8,2536905609649520,2523289956061600,sat,0:36:22,1:09:19
16,9,2523289926061600,2508038702096500,sat,3:26:45,4:36:04
16,10,2508038672096500,2481629871786070,sat,0:00:06,4:36:10
16,11,2481629841786070,2481629871786070,unknown,0:23:49,4:59:59
24,1,9999999800000000,9782636235578650,sat,0:00:01,0:00:01
24,2,9782636135578650,9711417840268510,sat,0:00:00,0:00:01
24,3,9711417740268510,9417596717820990,sat,0:00:02,0:00:03
24,4,9417596617820990,8690793818274420,sat,0:00:01,0:00:04
24,5,8690793718274420,8641696841676800,sat,0:00:03,0:00:07
24,6,8641696741676800,8229385704301920,sat,0:00:03,0:00:10
24,7,8229385604301920,7862746921493250,sat,0:00:22,0:00:33
24,8,7862746821493250,7711797924854970,sat,0:10:17,0:10:49
24,9,7711797824854970,7707052795285470,sat,0:00:01,0:10:50
24,10,7707052695285470,7699327535912050,sat,0:13:43,0:24:33
24,11,7699327435912050,7482884671207160,sat,0:06:58,0:31:31
24,12,7482884571207160,7438924313210040,sat,0:54:00,1:25:31
24,13,7438924213210040,7438924313210040,unknown,3:34:28,4:59:59
32,1,17227064040798600,16500681157206000,sat,0:00:31,0:00:31
32,2,16500680984935300,15572578785405200,sat,0:00:35,0:01:05
32,3,15572578613134500,15185352975122600,sat,0:27:21,0:28:27
32,4,15185352802852000,15185352975122600,unknown,4:31:34,5:00:00
48,1,17227064040798600,16104781310975200,sat,0:00:16,0:00:16
48,2,16104781138704600,16104781310975200,unknown,4:59:43,4:59:59
64,1,17227064040798600,16107793855091000,sat,0:03:11,0:03:11
64,2,16107793682820400,16107793855091000,unknown,4:56:49,5:00:00
96,1,17227064040798600,16041208730909300,sat,2:34:08,2:34:08
96,2,16041208558638700,16041208730909300,unknown,2:25:51,4:59:59
